date,temp_max,temp_min,precipitation,wind_speed
2015-01-01,2.10,-6.80,0.00,11.70
2015-01-02,3.50,-6.50,0.00,9.00
2015-01-03,4.20,-5.70,0.00,9.30
2015-01-04,7.60,-6.00,0.00,8.90
2015-01-05,9.30,-2.70,0.00,23.20
2015-01-06,4.40,-5.20,0.00,13.50
2015-01-07,2.70,-5.30,0.00,8.20
2015-01-08,4.80,-7.10,0.00,10.60
2015-01-09,6.10,-6.20,0.00,11.00
2015-01-10,9.30,-4.90,0.00,12.20
2015-01-11,4.60,-4.50,0.00,12.00
2015-01-12,3.10,-6.20,0.00,9.40
2015-01-13,3.90,-5.20,0.00,6.30
2015-01-14,3.20,-6.00,0.00,5.90
2015-01-15,3.20,-5.20,0.00,9.40
2015-01-16,2.50,-6.20,0.00,24.00
2015-01-17,1.50,-8.80,0.00,10.10
2015-01-18,6.90,-4.10,0.00,25.80
2015-01-19,5.50,-4.80,0.00,10.70
2015-01-20,4.90,-5.90,0.00,12.60
2015-01-21,5.00,-5.10,0.00,15.30
2015-01-22,5.30,-5.10,0.00,11.00
2015-01-23,6.70,-4.60,0.00,10.70
2015-01-24,3.10,-4.50,0.40,9.40
2015-01-25,4.60,-4.50,0.00,8.30
2015-01-26,3.90,-4.80,0.00,22.60
2015-01-27,1.10,-8.80,0.00,10.10
2015-01-28,0.70,-7.30,0.00,7.50
2015-01-29,4.70,-4.60,0.00,17.50
2015-01-30,2.20,-7.60,0.00,14.20
2015-01-31,2.40,-8.50,0.00,9.80
2015-02-01,3.20,-7.00,0.00,6.50
2015-02-02,3.50,-7.50,0.00,6.50
2015-02-03,8.20,-3.80,0.00,14.80
2015-02-04,6.80,-4.10,0.00,18.00
2015-02-05,7.40,-4.40,0.00,11.60
2015-02-06,9.40,-4.10,0.00,10.70
2015-02-07,3.40,-5.00,0.00,22.70
2015-02-08,1.40,-8.50,0.00,12.20
2015-02-09,6.50,-6.50,0.00,12.60
2015-02-10,11.30,-5.10,0.00,11.40
2015-02-11,8.70,-4.40,0.00,11.20
2015-02-12,5.70,-4.50,0.00,10.90
2015-02-13,8.00,-4.90,0.00,11.20
2015-02-14,10.80,-3.10,0.00,9.40
2015-02-15,10.00,-1.10,0.00,8.70
2015-02-16,12.10,-4.60,0.00,23.70
2015-02-17,9.80,-4.00,0.00,12.20
2015-02-18,8.60,-4.20,0.00,8.80
2015-02-19,6.50,-5.10,0.30,13.70
2015-02-20,4.20,-1.30,5.00,9.40
2015-02-21,8.10,-2.60,0.30,28.90
2015-02-22,5.10,-5.20,0.00,23.20
2015-02-23,6.10,-6.20,0.00,11.50
2015-02-24,7.30,-5.70,0.00,8.70
2015-02-25,6.20,-4.00,0.00,20.80
2015-02-26,5.70,-5.10,0.00,16.80
2015-02-27,3.50,-5.40,0.00,10.80
2015-02-28,5.40,-3.90,0.40,15.90
2015-03-01,11.60,-5.70,0.00,16.70
2015-03-02,13.60,-3.70,0.00,18.50
2015-03-03,4.40,-4.40,0.00,28.10
2015-03-04,5.40,-5.80,0.00,10.90
2015-03-05,7.80,-4.10,0.00,17.10
2015-03-06,10.80,-2.80,0.00,14.20
2015-03-07,12.90,-3.10,0.00,8.00
2015-03-08,12.80,-1.90,0.00,17.00
2015-03-09,4.20,-5.70,0.00,19.50
2015-03-10,8.90,-6.60,0.00,13.90
2015-03-11,10.90,-5.00,0.00,11.90
2015-03-12,11.70,-4.20,0.00,9.70
2015-03-13,12.80,-3.50,0.00,12.60
2015-03-14,12.30,-3.10,0.00,10.20
2015-03-15,17.00,-3.60,0.00,18.70
2015-03-16,17.90,0.80,0.00,8.60
2015-03-17,15.80,1.30,0.00,14.60
2015-03-18,15.20,3.40,0.00,11.30
2015-03-19,19.30,0.30,0.00,13.40
2015-03-20,19.80,0.80,0.00,13.30
2015-03-21,18.60,2.40,0.00,16.90
2015-03-22,13.60,2.90,0.00,16.30
2015-03-23,18.10,-2.80,0.00,12.80
2015-03-24,16.20,-0.60,0.00,9.80
2015-03-25,18.70,1.00,0.00,14.30
2015-03-26,20.80,3.60,0.00,16.60
2015-03-27,21.20,5.90,0.00,17.70
2015-03-28,23.70,7.60,0.00,25.40
2015-03-29,24.30,6.20,0.00,21.00
2015-03-30,23.60,11.70,0.00,11.50
2015-03-31,15.80,7.20,3.40,11.80
2015-04-01,15.60,4.50,1.60,10.00
2015-04-02,17.80,4.10,8.40,13.50
2015-04-03,16.70,4.00,0.00,14.40
2015-04-04,17.40,4.90,0.00,9.00
2015-04-05,17.20,5.90,0.00,22.70
2015-04-06,11.30,2.10,0.00,15.80
2015-04-07,13.10,-1.10,0.00,15.10
2015-04-08,14.50,2.60,0.00,16.90
2015-04-09,18.30,1.90,0.00,17.20
2015-04-10,21.60,3.70,0.00,14.70
2015-04-11,20.80,7.30,3.10,14.90
2015-04-12,12.10,4.80,5.70,27.80
2015-04-13,17.80,4.00,1.30,18.80
2015-04-14,25.40,2.80,0.00,12.30
2015-04-15,27.60,9.50,0.00,35.10
2015-04-16,21.00,9.70,0.00,21.90
2015-04-17,26.50,6.70,0.00,13.30
2015-04-18,20.80,11.70,0.20,8.70
2015-04-19,21.10,10.30,0.00,21.10
2015-04-20,23.00,4.40,0.00,16.90
2015-04-21,28.00,8.30,0.00,23.70
2015-04-22,27.10,7.40,0.00,22.70
2015-04-23,30.00,12.60,0.00,18.10
2015-04-24,28.00,8.40,0.00,17.70
2015-04-25,33.30,10.70,0.00,15.70
2015-04-26,33.80,15.00,0.00,17.80
2015-04-27,31.40,16.90,0.30,18.30
2015-04-28,27.80,14.60,0.00,11.80
2015-04-29,29.50,13.40,0.00,15.10
2015-04-30,31.20,16.30,0.00,17.10
2015-05-01,28.00,14.60,6.30,25.00
2015-05-02,26.00,12.40,0.10,14.40
2015-05-03,24.10,12.80,0.00,25.70
2015-05-04,24.80,7.50,0.00,21.70
2015-05-05,27.60,10.00,0.00,15.80
2015-05-06,24.80,10.90,0.10,21.80
2015-05-07,26.00,11.00,0.70,18.00
2015-05-08,24.90,11.50,3.80,19.30
2015-05-09,13.80,11.20,1.90,13.20
2015-05-10,11.60,9.60,17.20,11.00
2015-05-11,20.80,7.40,0.00,15.10
2015-05-12,28.90,9.30,0.10,22.60
2015-05-13,31.60,10.10,0.00,22.40
2015-05-14,27.30,15.50,0.00,20.40
2015-05-15,26.00,14.70,0.00,19.80
2015-05-16,29.90,10.30,0.00,17.30
2015-05-17,31.90,16.70,2.80,18.10
2015-05-18,28.70,14.70,0.60,21.90
2015-05-19,26.90,13.50,0.00,27.50
2015-05-20,29.20,13.50,0.00,15.80
2015-05-21,30.20,15.50,0.00,23.40
2015-05-22,31.10,15.20,0.00,13.30
2015-05-23,33.00,17.00,0.00,16.40
2015-05-24,34.70,18.50,0.00,19.40
