date,temp_max,temp_min,precipitation,wind_speed
2015-01-01,2.40,-4.40,0.00,21.30
2015-01-02,5.30,-2.40,0.00,19.90
2015-01-03,6.80,-3.30,16.50,15.80
2015-01-04,13.40,6.60,7.20,22.30
2015-01-05,7.10,-4.00,0.00,26.80
2015-01-06,-4.40,-6.70,1.20,17.10
2015-01-07,-4.20,-12.50,0.00,29.40
2015-01-08,-6.10,-13.40,0.00,25.90
2015-01-09,0.50,-8.60,0.90,24.70
2015-01-10,-5.20,-9.80,0.00,17.60
2015-01-11,1.90,-9.00,0.00,15.00
2015-01-12,2.30,-1.40,12.40,12.50
2015-01-13,1.40,-8.20,1.10,19.80
2015-01-14,-0.20,-8.40,0.00,13.50
2015-01-15,1.20,-5.30,0.00,13.00
2015-01-16,4.70,-6.20,0.00,22.80
2015-01-17,-2.00,-8.60,0.00,17.60
2015-01-18,6.40,-3.40,34.10,11.30
2015-01-19,5.20,-1.80,0.00,22.70
2015-01-20,5.00,-2.80,0.00,11.90
2015-01-21,1.20,-5.70,0.10,8.20
2015-01-22,4.40,-2.80,0.40,12.40
2015-01-23,3.50,-4.70,0.00,12.00
2015-01-24,2.00,-0.70,21.80,16.30
2015-01-25,3.60,-4.10,0.00,17.80
2015-01-26,-3.10,-5.80,5.80,26.30
2015-01-27,-3.40,-7.70,12.10,26.30
2015-01-28,-3.10,-12.10,0.00,16.80
2015-01-29,-0.80,-15.90,0.40,11.70
2015-01-30,1.50,-9.30,2.50,26.00
2015-01-31,-5.90,-14.30,0.00,27.20
2015-02-01,0.50,-14.60,0.30,11.10
2015-02-02,2.40,-8.80,26.90,23.00
2015-02-03,-5.70,-15.60,0.00,21.80
2015-02-04,2.70,-13.30,0.00,11.60
2015-02-05,0.40,-12.70,0.90,25.00
2015-02-06,-5.30,-19.40,0.00,17.90
2015-02-07,0.50,-13.60,0.00,11.50
2015-02-08,3.50,-2.70,0.10,13.50
2015-02-09,-0.00,-4.40,3.90,19.00
2015-02-10,1.40,-5.30,0.30,18.60
2015-02-11,-1.80,-8.10,0.00,18.30
2015-02-12,2.60,-7.50,0.40,23.40
2015-02-13,-8.10,-15.80,0.00,25.30
2015-02-14,-0.70,-13.90,1.00,13.70
2015-02-15,-5.70,-17.20,1.40,33.40
2015-02-16,-7.90,-19.00,0.00,22.90
2015-02-17,-4.30,-11.40,3.00,12.00
2015-02-18,-2.70,-14.10,0.00,9.70
2015-02-19,-7.20,-14.20,0.00,28.90
2015-02-20,-9.00,-19.60,0.00,24.10
2015-02-21,-1.90,-17.80,10.30,18.20
2015-02-22,5.20,-2.80,7.20,10.20
2015-02-23,-1.90,-15.20,0.00,21.60
2015-02-24,-7.30,-19.80,0.00,14.30
2015-02-25,0.80,-15.10,0.00,19.60
2015-02-26,-3.30,-8.20,0.80,16.30
2015-02-27,-2.90,-13.50,0.00,12.60
2015-02-28,-3.90,-17.70,0.00,10.70
2015-03-01,-1.70,-9.60,11.70,10.90
2015-03-02,1.80,-6.30,0.30,24.90
2015-03-03,1.50,-11.80,10.60,15.60
2015-03-04,4.50,2.20,4.90,20.50
2015-03-05,2.10,-6.60,18.80,15.60
2015-03-06,-6.00,-15.30,0.00,17.40
2015-03-07,1.10,-17.00,0.00,15.80
2015-03-08,6.00,-6.10,0.00,20.50
2015-03-09,7.30,-5.30,0.10,11.70
2015-03-10,6.40,-1.30,6.30,9.40
2015-03-11,11.10,0.80,3.40,14.70
2015-03-12,5.60,-3.60,0.00,23.50
2015-03-13,3.70,-5.10,0.00,12.50
2015-03-14,6.30,0.80,20.50,10.80
2015-03-15,6.40,0.80,0.00,30.90
2015-03-16,8.20,-3.50,0.00,16.40
2015-03-17,12.10,-1.30,0.80,31.60
2015-03-18,2.90,-4.40,0.00,30.30
2015-03-19,4.40,-6.20,0.00,16.60
2015-03-20,2.00,-3.50,11.00,14.70
2015-03-21,8.30,-1.80,0.10,12.70
2015-03-22,4.20,-4.80,0.00,22.50
2015-03-23,2.40,-8.30,0.00,18.70
2015-03-24,5.30,-4.10,0.00,8.20
2015-03-25,6.80,-2.70,2.00,17.10
2015-03-26,14.90,1.80,7.90,20.50
2015-03-27,8.40,1.40,6.50,16.30
2015-03-28,4.30,-1.70,0.00,21.10
2015-03-29,6.40,-3.30,0.00,17.50
2015-03-30,11.00,-0.80,0.10,22.80
2015-03-31,6.30,-1.30,5.30,12.40
2015-04-01,10.20,-1.20,0.00,17.70
2015-04-02,16.00,-2.00,0.90,22.10
2015-04-03,15.00,10.30,5.40,20.40
2015-04-04,14.40,3.40,1.90,32.30
2015-04-05,15.00,0.80,0.00,27.20
2015-04-06,16.80,0.50,0.30,12.80
2015-04-07,15.50,5.90,3.40,15.60
2015-04-08,6.90,4.20,0.50,20.40
2015-04-09,6.70,2.90,0.20,15.10
2015-04-10,14.00,3.90,0.70,16.20
2015-04-11,13.40,6.20,0.00,20.70
2015-04-12,16.90,1.50,0.00,10.70
