date,temp_max,temp_min,precipitation,wind_speed
2015-01-01,4.30,-2.20,0.00,22.70
2015-01-02,8.10,-3.60,0.00,9.90
2015-01-03,10.40,0.10,0.00,17.70
2015-01-04,15.90,2.40,0.00,12.70
2015-01-05,19.90,7.10,0.00,19.90
2015-01-06,12.40,2.20,1.50,27.60
2015-01-07,6.90,1.10,0.00,17.30
2015-01-08,7.80,-1.20,0.00,14.40
2015-01-09,10.90,-1.20,0.00,9.80
2015-01-10,13.40,-0.60,0.00,10.20
2015-01-11,14.20,-0.20,0.00,13.70
2015-01-12,8.10,3.00,0.00,19.70
2015-01-13,9.30,5.80,8.80,16.50
2015-01-14,10.40,6.80,23.70,24.50
2015-01-15,9.80,4.90,0.00,17.00
2015-01-16,8.70,3.20,0.00,18.40
2015-01-17,6.20,1.70,0.00,18.60
2015-01-18,10.60,1.20,0.00,20.20
2015-01-19,10.40,1.40,0.00,13.10
2015-01-20,10.50,1.80,2.60,18.20
2015-01-21,15.10,5.90,0.90,19.20
2015-01-22,7.80,2.30,0.00,21.10
2015-01-23,9.10,0.20,0.00,15.30
2015-01-24,14.50,5.10,0.00,22.10
2015-01-25,15.90,9.60,0.00,21.60
2015-01-26,11.60,6.10,0.00,16.50
2015-01-27,6.00,2.70,0.90,26.80
2015-01-28,6.10,2.70,0.00,23.30
2015-01-29,6.20,3.20,7.90,15.50
2015-01-30,5.20,1.00,0.10,19.70
2015-01-31,5.20,0.30,0.00,19.50
2015-02-01,6.30,1.60,0.10,12.30
2015-02-02,7.60,3.50,0.00,12.50
2015-02-03,8.10,3.80,0.20,9.70
2015-02-04,8.40,1.00,0.00,18.00
2015-02-05,5.60,0.10,0.00,23.30
2015-02-06,8.20,-0.90,0.00,9.30
2015-02-07,11.30,-0.60,0.00,8.50
2015-02-08,4.30,-0.50,0.00,26.30
2015-02-09,4.90,-2.20,0.00,12.80
2015-02-10,8.90,-3.30,0.00,11.80
2015-02-11,14.60,0.20,0.00,16.50
2015-02-12,12.90,3.20,0.00,16.10
2015-02-13,11.80,3.50,0.20,16.50
2015-02-14,17.40,5.10,0.00,23.30
2015-02-15,18.60,12.10,4.10,19.80
2015-02-16,14.50,6.30,0.00,20.10
2015-02-17,12.30,3.80,0.00,11.60
2015-02-18,10.60,0.50,0.00,21.20
2015-02-19,9.50,0.80,0.00,15.20
2015-02-20,11.60,4.30,13.60,29.50
2015-02-21,10.60,8.60,8.10,16.90
2015-02-22,11.10,5.40,0.00,15.70
2015-02-23,8.40,2.00,5.00,14.80
